FIPStxt,Stabr,Area_name,POVALL_2019,,,,,,,,,,,,,,,,,,,,,,,,,,
01001,AL,Autauga ,"6,723",,,,,,,,,,,,,,,,,,,,,,,,,,
01003,AL,Baldwin ,"22,360",,,,,,,,,,,,,,,,,,,,,,,,,,
01005,AL,Barbour ,"5,909",,,,,,,,,,,,,,,,,,,,,,,,,,
01007,AL,Bibb ,"4,101",,,,,,,,,,,,,,,,,,,,,,,,,,
01009,AL,Blount ,"9,324",,,,,,,,,,,,,,,,,,,,,,,,,,
01011,AL,Bullock ,"2,537",,,,,,,,,,,,,,,,,,,,,,,,,,
01013,AL,Butler ,"4,124",,,,,,,,,,,,,,,,,,,,,,,,,,
01015,AL,Calhoun ,"18,988",,,,,,,,,,,,,,,,,,,,,,,,,,
01017,AL,Chambers ,"6,415",,,,,,,,,,,,,,,,,,,,,,,,,,
01019,AL,Cherokee ,"4,121",,,,,,,,,,,,,,,,,,,,,,,,,,
01021,AL,Chilton ,"7,044",,,,,,,,,,,,,,,,,,,,,,,,,,
01023,AL,Choctaw ,"2,811",,,,,,,,,,,,,,,,,,,,,,,,,,
01025,AL,Clarke ,"4,281",,,,,,,,,,,,,,,,,,,,,,,,,,
01027,AL,Clay ,"2,156",,,,,,,,,,,,,,,,,,,,,,,,,,
01029,AL,Cleburne ,"1,945",,,,,,,,,,,,,,,,,,,,,,,,,,
01031,AL,Coffee ,"7,734",,,,,,,,,,,,,,,,,,,,,,,,,,
01033,AL,Colbert ,"7,998",,,,,,,,,,,,,,,,,,,,,,,,,,
01035,AL,Conecuh ,"2,662",,,,,,,,,,,,,,,,,,,,,,,,,,
01037,AL,Coosa ,"1,789",,,,,,,,,,,,,,,,,,,,,,,,,,
01039,AL,Covington ,"6,269",,,,,,,,,,,,,,,,,,,,,,,,,,
01041,AL,Crenshaw ,"2,289",,,,,,,,,,,,,,,,,,,,,,,,,,
01043,AL,Cullman ,"10,088",,,,,,,,,,,,,,,,,,,,,,,,,,
01045,AL,Dale ,"8,727",,,,,,,,,,,,,,,,,,,,,,,,,,
01047,AL,Dallas ,"9,533",,,,,,,,,,,,,,,,,,,,,,,,,,
01049,AL,DeKalb ,"12,848",,,,,,,,,,,,,,,,,,,,,,,,,,
01051,AL,Elmore ,"8,753",,,,,,,,,,,,,,,,,,,,,,,,,,
01053,AL,Escambia ,"6,980",,,,,,,,,,,,,,,,,,,,,,,,,,
01055,AL,Etowah ,"18,801",,,,,,,,,,,,,,,,,,,,,,,,,,
01057,AL,Fayette ,"2,721",,,,,,,,,,,,,,,,,,,,,,,,,,
01059,AL,Franklin ,"4,989",,,,,,,,,,,,,,,,,,,,,,,,,,
01061,AL,Geneva ,"4,180",,,,,,,,,,,,,,,,,,,,,,,,,,
01063,AL,Greene ,"2,553",,,,,,,,,,,,,,,,,,,,,,,,,,
01065,AL,Hale ,"2,956",,,,,,,,,,,,,,,,,,,,,,,,,,
01067,AL,Henry ,"2,919",,,,,,,,,,,,,,,,,,,,,,,,,,
01069,AL,Houston ,"20,207",,,,,,,,,,,,,,,,,,,,,,,,,,
01071,AL,Jackson ,"7,481",,,,,,,,,,,,,,,,,,,,,,,,,,
01073,AL,Jefferson ,"104,288",,,,,,,,,,,,,,,,,,,,,,,,,,
