fips,Area_name,Stabr,peopleinpoverty
1001,Autauga ,Alabama,"6,723"
1003,Baldwin ,Alabama,"22,360"
1005,Barbour ,Alabama,"5,909"
1007,Bibb ,Alabama,"4,101"
1009,Blount ,Alabama,"9,324"
1011,Bullock ,Alabama,"2,537"
1013,Butler ,Alabama,"4,124"
1015,Calhoun ,Alabama,"18,988"
1017,Chambers ,Alabama,"6,415"
1019,Cherokee ,Alabama,"4,121"
1021,Chilton ,Alabama,"7,044"
1023,Choctaw ,Alabama,"2,811"
1025,Clarke ,Alabama,"4,281"
1027,Clay ,Alabama,"2,156"
1029,Cleburne ,Alabama,"1,945"
1031,Coffee ,Alabama,"7,734"
1033,Colbert ,Alabama,"7,998"
1035,Conecuh ,Alabama,"2,662"
1037,Coosa ,Alabama,"1,789"
1039,Covington ,Alabama,"6,269"
1041,Crenshaw ,Alabama,"2,289"
1043,Cullman ,Alabama,"10,088"
1045,Dale ,Alabama,"8,727"
1047,Dallas ,Alabama,"9,533"
1049,DeKalb ,Alabama,"12,848"
1051,Elmore ,Alabama,"8,753"
1053,Escambia ,Alabama,"6,980"
1055,Etowah ,Alabama,"18,801"
1057,Fayette ,Alabama,"2,721"
1059,Franklin ,Alabama,"4,989"
1061,Geneva ,Alabama,"4,180"
1063,Greene ,Alabama,"2,553"
1065,Hale ,Alabama,"2,956"
1067,Henry ,Alabama,"2,919"
1069,Houston ,Alabama,"20,207"
1071,Jackson ,Alabama,"7,481"
1073,Jefferson ,Alabama,"104,288"
1075,Lamar ,Alabama,"2,070"
1077,Lauderdale ,Alabama,"14,193"
1079,Lawrence ,Alabama,"5,773"
1081,Lee ,Alabama,"24,731"
1083,Limestone ,Alabama,"11,535"
1085,Lowndes ,Alabama,"2,555"
1087,Macon ,Alabama,"4,817"
1089,Madison ,Alabama,"41,789"
1091,Marengo ,Alabama,"4,601"
1093,Marion ,Alabama,"4,883"
1095,Marshall ,Alabama,"14,989"
1097,Mobile ,Alabama,"71,784"
1099,Monroe ,Alabama,"4,770"
1101,Montgomery ,Alabama,"34,268"
1103,Morgan ,Alabama,"16,146"
1105,Perry ,Alabama,"2,778"
1107,Pickens ,Alabama,"4,380"
1109,Pike ,Alabama,"6,742"
1111,Randolph ,Alabama,"3,906"
1113,Russell ,Alabama,"10,823"
1115,St. Clair ,Alabama,"9,780"
1117,Shelby ,Alabama,"13,428"
1119,Sumter ,Alabama,"4,195"
1121,Talladega ,Alabama,"13,326"
1123,Tallapoosa ,Alabama,"6,341"
1125,Tuscaloosa ,Alabama,"32,226"
1127,Walker ,Alabama,"10,837"
1129,Washington ,Alabama,"2,998"
1131,Wilcox ,Alabama,"3,329"
1133,Winston ,Alabama,"3,882"
2013,Aleutians East Borough,Alaska,492
2016,Aleutians West Census Area,Alaska,414
2020,Anchorage Borough,Alaska,"26,636"
2050,Bethel Census Area,Alaska,"4,249"
2060,Bristol Bay Borough,Alaska,80
2068,Denali Borough,Alaska,132
2070,Dillingham Census Area,Alaska,883
2090,Fairbanks North Star Borough,Alaska,"6,656"
2100,Haines Borough,Alaska,247
2105,Hoonah-Angoon Census Area,Alaska,336
2110,Juneau Borough,Alaska,"1,951"
2122,Kenai Peninsula Borough,Alaska,"5,966"
2130,Ketchikan Gateway Borough,Alaska,"1,283"
2150,Kodiak Island Borough,Alaska,909
2158,Kusilvak Census Area,Alaska,"2,217"
2164,Lake and Peninsula Borough,Alaska,275
2170,Matanuska-Susitna Borough,Alaska,"10,142"
2180,Nome Census Area,Alaska,"2,033"
2185,North Slope Borough,Alaska,"1,109"
2188,Northwest Arctic Borough,Alaska,"1,805"
2195,Petersburg Borough,Alaska,219
2198,Prince of Wales-Hyder Census Area,Alaska,"1,085"
2220,Sitka Borough,Alaska,672
2230,Skagway Municipality,Alaska,47
2240,Southeast Fairbanks Census Area,Alaska,823
2261,Valdez-Cordova Census Area,Alaska,781
2275,Wrangell City and Borough,Alaska,240
2282,Yakutat Borough,Alaska,85
2290,Yukon-Koyukuk Census Area,Alaska,"1,266"
4001,Apache ,Arizona,"23,680"
4003,Cochise ,Arizona,"20,172"
4005,Coconino ,Arizona,"20,817"
4007,Gila ,Arizona,"11,219"
4009,Graham ,Arizona,"7,207"
4011,Greenlee ,Arizona,876
4012,La Paz ,Arizona,"4,593"
4013,Maricopa ,Arizona,"539,670"
4015,Mohave ,Arizona,"33,183"
4017,Navajo ,Arizona,"27,440"
4019,Pima ,Arizona,"142,859"
4021,Pinal ,Arizona,"52,975"
4023,Santa Cruz ,Arizona,"8,688"
4025,Yavapai ,Arizona,"27,845"
4027,Yuma ,Arizona,"41,782"
5001,Alaska ,Arkansas,"2,714"
5003,Ashley ,Arkansas,"3,603"
5005,Baxter ,Arkansas,"5,248"
5007,Benton ,Arkansas,"24,525"
5009,Boone ,Arkansas,"5,572"
5011,Bradley ,Arkansas,"2,426"
5013,Calhoun ,Arkansas,771
5015,Carroll ,Arkansas,"4,118"
5017,Chicot ,Arkansas,"2,900"
5019,Clark ,Arkansas,"3,971"
5021,Clay ,Arkansas,"2,691"
5023,Cleburne ,Arkansas,"3,452"
5025,Cleveland ,Arkansas,"1,080"
5027,Columbia ,Arkansas,"4,509"
5029,Conway ,Arkansas,"3,215"
5031,Craighead ,Arkansas,"17,960"
5033,Crawford ,Arkansas,"11,436"
5035,Crittenden ,Arkansas,"10,520"
5037,Cross ,Arkansas,"2,874"
5039,Dallas ,Arkansas,"1,241"
5041,Desha ,Arkansas,"2,859"
5043,Drew ,Arkansas,"3,191"
5045,Faulkner ,Arkansas,"17,459"
5047,Franklin ,Arkansas,"2,830"
5049,Fulton ,Arkansas,"2,169"
5051,Garland ,Arkansas,"16,532"
5053,Grant ,Arkansas,"2,189"
5055,Greene ,Arkansas,"6,925"
5057,Hempstead ,Arkansas,"3,930"
5059,Hot Spring ,Arkansas,"6,322"
5061,Howard ,Arkansas,"2,176"
5063,Independence ,Arkansas,"5,852"
5065,Izard ,Arkansas,"2,003"
5067,Jackson ,Arkansas,"3,313"
5069,Jefferson ,Arkansas,"14,942"
5071,Johnson ,Arkansas,"4,521"
5073,Lafayette ,Arkansas,"1,655"
5075,Lawrence ,Arkansas,"2,887"
5077,Lee ,Arkansas,"2,515"
5079,Lincoln ,Arkansas,"2,567"
5081,Little River ,Arkansas,"2,157"
5083,Logan ,Arkansas,"3,640"
5085,Lonoke ,Arkansas,"7,760"
5087,Madison ,Arkansas,"2,699"
5089,Marion ,Arkansas,"2,687"
5091,Miller ,Arkansas,"5,909"
5093,Mississippi ,Arkansas,"9,128"
5095,Monroe ,Arkansas,"1,681"
5097,Montgomery ,Arkansas,"1,756"
5099,Nevada ,Arkansas,"1,951"
5101,Newton ,Arkansas,"1,386"
5103,Ouachita ,Arkansas,"3,969"
5105,Perry ,Arkansas,"1,710"
5107,Phillips ,Arkansas,"5,841"
5109,Pike ,Arkansas,"1,769"
5111,Poinsett ,Arkansas,"5,339"
5113,Polk ,Arkansas,"3,991"
5115,Pope ,Arkansas,"10,218"
5117,Prairie ,Arkansas,"1,190"
5119,Pulaski ,Arkansas,"56,020"
5121,Randolph ,Arkansas,"3,036"
5123,St. Francis ,Arkansas,"6,679"
5125,Saline ,Arkansas,"11,665"
5127,Scott ,Arkansas,"1,983"
5129,Searcy ,Arkansas,"1,740"
5131,Sebastian ,Arkansas,"19,923"
5133,Sevier ,Arkansas,"2,962"
5135,Sharp ,Arkansas,"4,007"
5137,Stone ,Arkansas,"2,378"
5139,Union ,Arkansas,"7,216"
5141,Van Buren ,Arkansas,"3,235"
5143,Washington ,Arkansas,"34,731"
5145,White ,Arkansas,"11,613"
5147,Woodruff ,Arkansas,"1,678"
5149,Yell ,Arkansas,"3,265"
6001,Alameda ,California,"146,315"
6003,Alpine ,California,193
6005,Amador ,California,"3,462"
6007,Butte ,California,"34,503"
6009,Calaveras ,California,"5,477"
6011,Colusa ,California,"2,554"
6013,Contra Costa ,California,"90,482"
6015,Del Norte ,California,"4,445"
6017,El Dorado ,California,"16,649"
6019,Fresno ,California,"200,873"
6021,Glenn ,California,"3,397"
6023,Humboldt ,California,"25,136"
6025,Imperial ,California,"38,020"
6027,Inyo ,California,"2,071"
6029,Kern ,California,"164,817"
6031,Kings ,California,"21,840"
6033,Lake ,California,"11,622"
6035,Lassen ,California,"3,789"
6037,Los Angeles ,California,"1,319,242"
6039,Madera ,California,"26,309"
6041,Marin ,California,"17,357"
6043,Mariposa ,California,"2,565"
6045,Mendocino ,California,"11,980"
6047,Merced ,California,"46,011"
6049,Modoc ,California,"1,757"
6051,Mono ,California,"1,437"
6053,Monterey ,California,"52,484"
6055,Napa ,California,"9,897"
6057,Nevada ,California,"9,268"
6059,Orange ,California,"297,658"
6061,Placer ,California,"26,170"
6063,Plumas ,California,"2,432"
6065,Riverside ,California,"274,953"
6067,Sacramento ,California,"192,993"
6069,San Benito ,California,"6,518"
6071,San Bernardino ,California,"284,359"
6073,San Diego ,California,"335,034"
6075,San Francisco ,California,"82,616"
6077,San Joaquin ,California,"101,772"
6079,San Luis Obispo ,California,"31,180"
6081,San Mateo ,California,"46,328"
6083,Santa Barbara ,California,"51,298"
6085,Santa Clara ,California,"116,401"
6087,Santa Cruz ,California,"27,531"
6089,Shasta ,California,"23,508"
6091,Sierra ,California,375
6093,Siskiyou ,California,"7,484"
6095,Solano ,California,"39,018"
6097,Sonoma ,California,"34,758"
6099,Stanislaus ,California,"70,741"
6101,Sutter ,California,"12,310"
6103,Tehama ,California,"10,484"
6105,Trinity ,California,"1,986"
6107,Tulare ,California,"86,940"
6109,Tuolumne ,California,"5,781"
6111,Ventura ,California,"68,482"
6113,Yolo ,California,"35,608"
6115,Yuba ,California,"11,748"
8001,Adams ,Colorado,"47,464"
